Category: All categories

Week,Klettersteig: (Switzerland)
2021-06-13,55
2021-06-20,48
2021-06-27,54
2021-07-04,61
2021-07-11,61
2021-07-18,79
2021-07-25,68
2021-08-01,59
2021-08-08,90
2021-08-15,83
2021-08-22,62
2021-08-29,60
2021-09-05,56
2021-09-12,46
2021-09-19,45
2021-09-26,49
2021-10-03,36
2021-10-10,45
2021-10-17,28
2021-10-24,22
2021-10-31,13
2021-11-07,8
2021-11-14,8
2021-11-21,5
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,7
2022-01-09,6
2022-01-16,6
2022-01-23,9
2022-01-30,6
2022-02-06,5
2022-02-13,6
2022-02-20,9
2022-02-27,5
2022-03-06,5
2022-03-13,7
2022-03-20,14
2022-03-27,12
2022-04-03,8
2022-04-10,13
2022-04-17,20
2022-04-24,17
2022-05-01,20
2022-05-08,33
2022-05-15,37
2022-05-22,55
2022-05-29,36
2022-06-05,52
2022-06-12,66
2022-06-19,53
2022-06-26,57
2022-07-03,74
2022-07-10,76
2022-07-17,84
2022-07-24,80
2022-07-31,86
2022-08-07,77
2022-08-14,60
2022-08-21,61
2022-08-28,44
2022-09-04,53
2022-09-11,46
2022-09-18,35
2022-09-25,16
2022-10-02,44
2022-10-09,36
2022-10-16,33
2022-10-23,22
2022-10-30,17
2022-11-06,11
2022-11-13,10
2022-11-20,6
2022-11-27,0
2022-12-04,6
2022-12-11,0
2022-12-18,0
2022-12-25,12
2023-01-01,9
2023-01-08,0
2023-01-15,7
2023-01-22,7
2023-01-29,7
2023-02-05,5
2023-02-12,10
2023-02-19,12
2023-02-26,12
2023-03-05,9
2023-03-12,11
2023-03-19,13
2023-03-26,12
2023-04-02,15
2023-04-09,13
2023-04-16,16
2023-04-23,15
2023-04-30,27
2023-05-07,15
2023-05-14,35
2023-05-21,40
2023-05-28,62
2023-06-04,62
2023-06-11,60
2023-06-18,59
2023-06-25,59
2023-07-02,71
2023-07-09,78
2023-07-16,86
2023-07-23,78
2023-07-30,65
2023-08-06,83
2023-08-13,90
2023-08-20,56
2023-08-27,55
2023-09-03,72
2023-09-10,63
2023-09-17,48
2023-09-24,64
2023-10-01,60
2023-10-08,48
2023-10-15,24
2023-10-22,16
2023-10-29,10
2023-11-05,6
2023-11-12,5
2023-11-19,5
2023-11-26,5
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,9
2023-12-31,6
2024-01-07,4
2024-01-14,0
2024-01-21,7
2024-01-28,10
2024-02-04,6
2024-02-11,0
2024-02-18,7
2024-02-25,6
2024-03-03,10
2024-03-10,9
2024-03-17,10
2024-03-24,15
2024-03-31,21
2024-04-07,15
2024-04-14,17
2024-04-21,15
2024-04-28,24
2024-05-05,28
2024-05-12,31
2024-05-19,39
2024-05-26,24
2024-06-02,27
2024-06-09,26
2024-06-16,28
2024-06-23,45
2024-06-30,36
2024-07-07,53
2024-07-14,80
2024-07-21,96
2024-07-28,100
2024-08-04,81
2024-08-11,67
2024-08-18,68
2024-08-25,60
2024-09-01,60
2024-09-08,29
2024-09-15,35
2024-09-22,27
2024-09-29,26
2024-10-06,30
2024-10-13,19
2024-10-20,23
2024-10-27,26
2024-11-03,17
2024-11-10,6
2024-11-17,8
2024-11-24,0
2024-12-01,7
2024-12-08,0
2024-12-15,0
2024-12-22,7
2024-12-29,7
2025-01-05,6
2025-01-12,0
2025-01-19,5
2025-01-26,9
2025-02-02,0
2025-02-09,10
2025-02-16,7
2025-02-23,7
2025-03-02,11
2025-03-09,11
2025-03-16,11
2025-03-23,11
2025-03-30,15
2025-04-06,17
2025-04-13,20
2025-04-20,26
2025-04-27,24
2025-05-04,17
2025-05-11,26
2025-05-18,18
2025-05-25,39
2025-06-01,34
2025-06-08,56
2025-06-15,47
2025-06-22,51
2025-06-29,50
2025-07-06,47
2025-07-13,58
2025-07-20,57
2025-07-27,52
2025-08-03,80
2025-08-10,80
2025-08-17,53
2025-08-24,46
2025-08-31,38
2025-09-07,33
2025-09-14,48
2025-09-21,27
2025-09-28,27
2025-10-05,38
2025-10-12,38
2025-10-19,13
2025-10-26,10
2025-11-02,11
2025-11-09,10
2025-11-16,0
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,7
2026-01-04,6
2026-01-11,0
2026-01-18,6
2026-01-25,0
2026-02-01,6
2026-02-08,0
2026-02-15,5
2026-02-22,10
2026-03-01,16
2026-03-08,11
2026-03-15,11
2026-03-22,5
2026-03-29,9
2026-04-05,15
2026-04-12,11
2026-04-19,22
2026-04-26,28
2026-05-03,23
2026-05-10,17
2026-05-17,34
2026-05-24,52
2026-05-31,44
2026-06-07,42
2026-06-14,42
