Category: All categories

Week,Skitour: (Switzerland)
2021-06-13,0
2021-06-20,5
2021-06-27,0
2021-07-04,4
2021-07-11,0
2021-07-18,5
2021-07-25,0
2021-08-01,0
2021-08-08,4
2021-08-15,5
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,5
2021-09-26,5
2021-10-03,6
2021-10-10,0
2021-10-17,6
2021-10-24,7
2021-10-31,12
2021-11-07,11
2021-11-14,10
2021-11-21,11
2021-11-28,20
2021-12-05,28
2021-12-12,51
2021-12-19,40
2021-12-26,46
2022-01-02,51
2022-01-09,100
2022-01-16,73
2022-01-23,76
2022-01-30,59
2022-02-06,82
2022-02-13,64
2022-02-20,67
2022-02-27,86
2022-03-06,80
2022-03-13,53
2022-03-20,53
2022-03-27,26
2022-04-03,33
2022-04-10,41
2022-04-17,30
2022-04-24,16
2022-05-01,13
2022-05-08,8
2022-05-15,6
2022-05-22,6
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,6
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,5
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,7
2022-09-25,5
2022-10-02,6
2022-10-09,0
2022-10-16,7
2022-10-23,7
2022-10-30,6
2022-11-06,8
2022-11-13,8
2022-11-20,10
2022-11-27,7
2022-12-04,19
2022-12-11,29
2022-12-18,18
2022-12-25,20
2023-01-01,22
2023-01-08,21
2023-01-15,39
2023-01-22,57
2023-01-29,48
2023-02-05,63
2023-02-12,47
2023-02-19,34
2023-02-26,34
2023-03-05,24
2023-03-12,33
2023-03-19,21
2023-03-26,20
2023-04-02,31
2023-04-09,27
2023-04-16,20
2023-04-23,18
2023-04-30,15
2023-05-07,7
2023-05-14,6
2023-05-21,7
2023-05-28,7
2023-06-04,4
2023-06-11,6
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,5
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,6
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,5
2023-10-08,4
2023-10-15,0
2023-10-22,7
2023-10-29,6
2023-11-05,7
2023-11-12,9
2023-11-19,12
2023-11-26,23
2023-12-03,34
2023-12-10,30
2023-12-17,33
2023-12-24,47
2023-12-31,40
2024-01-07,70
2024-01-14,62
2024-01-21,44
2024-01-28,43
2024-02-04,36
2024-02-11,42
2024-02-18,36
2024-02-25,38
2024-03-03,37
2024-03-10,92
2024-03-17,35
2024-03-24,28
2024-03-31,24
2024-04-07,29
2024-04-14,17
2024-04-21,21
2024-04-28,15
2024-05-05,15
2024-05-12,10
2024-05-19,7
2024-05-26,4
2024-06-02,5
2024-06-09,4
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,5
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,6
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,5
2024-09-29,5
2024-10-06,0
2024-10-13,5
2024-10-20,0
2024-10-27,5
2024-11-03,6
2024-11-10,10
2024-11-17,13
2024-11-24,15
2024-12-01,15
2024-12-08,13
2024-12-15,22
2024-12-22,70
2024-12-29,65
2025-01-05,36
2025-01-12,64
2025-01-19,40
2025-01-26,39
2025-02-02,46
2025-02-09,50
2025-02-16,51
2025-02-23,46
2025-03-02,50
2025-03-09,18
2025-03-16,27
2025-03-23,24
2025-03-30,38
2025-04-06,25
2025-04-13,14
2025-04-20,18
2025-04-27,13
2025-05-04,6
2025-05-11,10
2025-05-18,6
2025-05-25,12
2025-06-01,5
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,6
2025-08-17,5
2025-08-24,0
2025-08-31,5
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,5
2025-10-12,6
2025-10-19,5
2025-10-26,7
2025-11-02,7
2025-11-09,10
2025-11-16,12
2025-11-23,26
2025-11-30,16
2025-12-07,15
2025-12-14,22
2025-12-21,22
2025-12-28,31
2026-01-04,24
2026-01-11,45
2026-01-18,30
2026-01-25,31
2026-02-01,34
2026-02-08,28
2026-02-15,24
2026-02-22,41
2026-03-01,32
2026-03-08,23
2026-03-15,32
2026-03-22,28
2026-03-29,38
2026-04-05,25
2026-04-12,21
2026-04-19,14
2026-04-26,12
2026-05-03,9
2026-05-10,6
2026-05-17,7
2026-05-24,6
2026-05-31,1
2026-06-07,2
2026-06-14,2
