"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",0,0,0,0,0,0,0,0
"2021-07-01",11,0,0,0,0,0,0,0
"2021-08-01",13,0,0,0,0,13,0,0
"2021-09-01",0,0,0,0,0,15,0,0
"2021-10-01",0,0,0,0,0,12,0,0
"2021-11-01",0,0,0,0,13,13,0,0
"2021-12-01",0,0,0,0,40,0,0,0
"2022-01-01",0,0,0,0,41,0,0,0
"2022-02-01",0,0,0,0,39,0,0,0
"2022-03-01",0,0,0,0,21,10,0,9
"2022-04-01",0,0,0,0,10,10,0,0
"2022-05-01",11,0,0,0,14,12,0,0
"2022-06-01",0,0,0,0,0,20,0,0
"2022-07-01",14,0,0,0,0,0,0,0
"2022-08-01",22,0,0,0,0,13,0,0
"2022-09-01",0,0,0,0,0,0,0,0
"2022-10-01",12,0,0,0,14,19,0,0
"2022-11-01",0,0,0,0,26,20,0,0
"2022-12-01",0,0,0,0,43,18,0,0
"2023-01-01",10,0,0,0,57,16,0,0
"2023-02-01",0,0,0,0,55,15,0,0
"2023-03-01",0,0,0,0,22,17,0,0
"2023-04-01",0,0,0,0,0,0,0,0
"2023-05-01",13,0,0,0,0,21,0,0
"2023-06-01",11,0,0,0,0,20,0,0
"2023-07-01",18,0,0,0,0,14,0,0
"2023-08-01",0,12,0,0,0,0,0,15
"2023-09-01",13,0,0,0,0,27,0,0
"2023-10-01",0,0,0,0,0,12,0,0
"2023-11-01",0,0,0,0,0,14,0,0
"2023-12-01",0,0,0,0,38,0,0,0
"2024-01-01",0,0,0,0,25,21,0,0
"2024-02-01",0,0,0,0,0,30,0,0
"2024-03-01",13,0,0,0,0,17,0,0
"2024-04-01",0,0,0,0,0,16,0,0
"2024-05-01",0,0,0,0,0,23,0,0
"2024-06-01",0,0,0,0,0,23,0,0
"2024-07-01",0,0,0,0,0,18,0,0
"2024-08-01",0,0,0,0,0,0,0,0
"2024-09-01",0,0,0,0,14,17,0,16
"2024-10-01",0,0,0,0,12,16,0,0
"2024-11-01",0,0,0,0,0,17,0,0
"2024-12-01",0,0,0,0,0,15,0,0
"2025-01-01",0,0,0,0,18,23,0,0
"2025-02-01",0,0,0,0,45,20,0,0
"2025-03-01",0,0,0,0,17,26,0,0
"2025-04-01",0,0,0,0,0,16,0,0
"2025-05-01",0,0,0,0,0,18,0,0
"2025-06-01",0,0,0,0,0,15,0,0
"2025-07-01",12,12,0,0,0,22,0,0
"2025-08-01",0,0,0,0,0,18,0,0
"2025-09-01",0,0,0,0,0,31,0,0
"2025-10-01",0,0,0,0,0,18,0,0
"2025-11-01",0,0,0,0,25,26,0,0
"2025-12-01",0,0,0,0,25,16,0,0
"2026-01-01",0,0,0,0,28,25,0,0
"2026-02-01",0,0,0,0,32,100,16,0
"2026-03-01",0,0,0,0,16,85,16,0
"2026-04-01",0,0,0,0,0,47,11,20
"2026-05-01",27,0,0,0,0,69,30,13
"2026-06-01",8,2,0,0,1,23,5,7
