"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",44,5,0,2,3,20,4,5
"2021-07-01",60,7,1,3,4,20,5,6
"2021-08-01",67,8,1,4,6,22,5,5
"2021-09-01",54,5,1,2,8,22,6,4
"2021-10-01",52,5,1,1,15,22,5,3
"2021-11-01",15,4,1,0,26,22,5,2
"2021-12-01",11,3,1,0,61,21,4,2
"2022-01-01",20,4,1,0,84,25,5,3
"2022-02-01",20,4,1,1,70,24,5,3
"2022-03-01",23,5,1,1,34,22,6,4
"2022-04-01",30,6,1,1,12,22,6,5
"2022-05-01",37,6,1,2,5,23,6,6
"2022-06-01",45,7,1,3,4,22,7,6
"2022-07-01",69,7,1,4,6,23,6,7
"2022-08-01",59,7,1,3,7,23,7,6
"2022-09-01",37,6,1,2,9,23,6,5
"2022-10-01",41,6,1,2,17,25,6,4
"2022-11-01",16,5,1,0,28,25,5,3
"2022-12-01",13,6,1,0,63,23,5,3
"2023-01-01",18,5,1,0,85,27,5,4
"2023-02-01",21,5,1,0,100,26,5,4
"2023-03-01",19,6,1,1,42,28,6,5
"2023-04-01",27,6,1,1,16,26,7,6
"2023-05-01",39,7,1,2,2,29,6,7
"2023-06-01",44,7,1,4,3,27,6,8
"2023-07-01",64,8,1,5,3,25,6,8
"2023-08-01",55,11,2,4,4,26,7,7
"2023-09-01",55,6,1,4,5,27,6,6
"2023-10-01",42,6,1,2,8,29,6,4
"2023-11-01",13,6,1,0,17,28,6,3
"2023-12-01",14,8,1,0,35,25,5,3
"2024-01-01",20,5,1,0,40,30,6,4
"2024-02-01",19,5,1,1,14,28,6,4
"2024-03-01",23,5,1,1,12,29,7,5
"2024-04-01",28,6,1,1,4,28,8,6
"2024-05-01",36,6,1,2,2,28,7,7
"2024-06-01",31,6,1,2,2,25,7,6
"2024-07-01",63,7,1,4,1,23,7,8
"2024-08-01",61,15,1,4,2,25,8,8
"2024-09-01",40,7,2,2,3,28,7,8
"2024-10-01",33,6,1,1,6,30,7,5
"2024-11-01",23,7,1,1,9,30,6,4
"2024-12-01",15,9,1,0,19,30,6,3
"2025-01-01",18,5,1,0,25,31,7,4
"2025-02-01",19,5,1,0,28,29,7,4
"2025-03-01",22,5,1,1,14,28,8,6
"2025-04-01",33,6,1,1,4,26,9,7
"2025-05-01",37,6,1,2,2,27,9,7
"2025-06-01",46,6,1,3,2,25,7,8
"2025-07-01",58,7,1,3,2,24,7,8
"2025-08-01",65,7,2,4,3,26,8,7
"2025-09-01",44,6,1,2,4,26,8,6
"2025-10-01",36,7,1,1,7,28,7,5
"2025-11-01",18,6,1,1,14,41,10,5
"2025-12-01",17,9,1,0,27,42,9,4
"2026-01-01",18,5,2,0,33,46,8,5
"2026-02-01",21,5,4,1,52,45,9,6
"2026-03-01",23,5,1,1,16,43,11,7
"2026-04-01",35,6,1,1,8,45,13,9
"2026-05-01",44,7,1,2,6,43,11,9
"2026-06-01",42,6,1,3,5,29,8,7
