"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",1,0,0,0,0,9,2,1
"2021-07-01",1,0,0,0,0,9,2,1
"2021-08-01",1,1,0,0,0,10,3,1
"2021-09-01",1,0,0,0,1,8,4,0
"2021-10-01",1,0,0,0,1,11,3,0
"2021-11-01",1,0,0,0,1,11,3,0
"2021-12-01",1,0,0,0,2,10,2,0
"2022-01-01",1,0,0,0,2,12,3,0
"2022-02-01",1,0,0,0,4,12,2,0
"2022-03-01",1,0,0,0,1,13,2,0
"2022-04-01",1,0,0,0,1,13,3,0
"2022-05-01",1,0,0,0,0,12,3,0
"2022-06-01",2,0,0,0,0,12,3,0
"2022-07-01",1,0,0,0,0,12,3,1
"2022-08-01",1,0,0,0,0,13,4,0
"2022-09-01",1,1,0,0,0,13,3,0
"2022-10-01",1,0,0,0,1,15,4,0
"2022-11-01",1,0,0,0,1,14,4,0
"2022-12-01",1,0,0,0,1,14,2,0
"2023-01-01",1,0,0,0,2,17,2,0
"2023-02-01",1,0,0,0,2,16,2,0
"2023-03-01",1,0,0,0,2,17,2,0
"2023-04-01",1,0,0,0,1,16,3,0
"2023-05-01",2,0,0,0,0,17,3,1
"2023-06-01",1,0,0,0,0,14,3,1
"2023-07-01",2,0,0,0,0,15,3,1
"2023-08-01",1,0,0,0,0,15,4,1
"2023-09-01",1,0,0,0,0,17,4,0
"2023-10-01",1,0,0,0,0,18,3,0
"2023-11-01",1,0,0,0,0,17,3,0
"2023-12-01",1,0,0,0,1,16,3,0
"2024-01-01",1,0,0,0,0,16,3,0
"2024-02-01",1,0,0,0,0,19,3,0
"2024-03-01",1,0,0,0,0,17,3,0
"2024-04-01",1,0,0,0,0,17,3,0
"2024-05-01",1,0,0,0,0,15,2,0
"2024-06-01",1,0,0,0,0,15,3,1
"2024-07-01",1,0,0,0,0,15,4,1
"2024-08-01",1,1,0,0,0,18,4,1
"2024-09-01",1,0,0,0,0,17,3,0
"2024-10-01",1,0,0,0,0,17,3,0
"2024-11-01",1,0,0,0,0,17,2,0
"2024-12-01",1,0,0,0,0,18,2,0
"2025-01-01",1,0,0,0,0,17,2,0
"2025-02-01",1,0,0,0,0,19,2,0
"2025-03-01",1,0,0,0,1,17,3,0
"2025-04-01",1,0,0,0,0,16,2,0
"2025-05-01",1,0,0,0,0,17,2,0
"2025-06-01",1,0,0,0,0,16,2,0
"2025-07-01",1,0,0,0,0,21,3,1
"2025-08-01",1,0,0,0,0,24,4,1
"2025-09-01",1,0,0,0,0,28,3,1
"2025-10-01",1,0,0,0,0,25,3,0
"2025-11-01",1,0,0,0,0,21,5,0
"2025-12-01",1,0,0,0,0,19,3,0
"2026-01-01",1,1,0,0,1,31,5,0
"2026-02-01",1,1,1,0,7,100,17,2
"2026-03-01",1,1,0,0,1,55,9,1
"2026-04-01",1,0,0,0,0,38,5,1
"2026-05-01",2,0,0,0,0,40,5,1
"2026-06-01",1,0,0,0,0,14,3,0
