"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",10,3,0,0,3,44,17,3
"2021-07-01",10,3,0,0,4,48,16,4
"2021-08-01",9,4,0,0,4,52,18,3
"2021-09-01",9,3,0,0,4,56,18,3
"2021-10-01",9,3,0,0,5,51,17,3
"2021-11-01",7,3,0,0,8,53,17,2
"2021-12-01",6,3,0,0,12,48,16,2
"2022-01-01",7,3,0,0,16,60,18,2
"2022-02-01",8,3,0,0,16,58,18,3
"2022-03-01",9,3,0,0,7,56,19,3
"2022-04-01",8,3,0,0,3,56,19,3
"2022-05-01",8,3,0,0,2,53,20,3
"2022-06-01",9,3,0,0,3,51,21,3
"2022-07-01",10,3,0,0,3,51,20,4
"2022-08-01",9,3,0,0,3,53,20,3
"2022-09-01",8,3,0,0,4,55,19,3
"2022-10-01",8,3,0,0,5,58,22,3
"2022-11-01",7,3,0,0,9,53,20,2
"2022-12-01",6,3,0,0,14,51,17,2
"2023-01-01",7,3,0,0,14,58,17,3
"2023-02-01",7,3,0,0,11,59,18,3
"2023-03-01",8,3,0,0,10,67,18,3
"2023-04-01",9,3,0,0,4,66,19,3
"2023-05-01",10,4,0,0,1,68,19,3
"2023-06-01",11,4,0,0,1,65,17,3
"2023-07-01",11,3,0,0,1,63,19,4
"2023-08-01",10,3,0,0,1,65,20,3
"2023-09-01",9,3,0,0,2,67,21,3
"2023-10-01",8,3,0,0,2,70,20,2
"2023-11-01",7,3,0,0,3,65,19,2
"2023-12-01",6,3,0,0,4,59,17,2
"2024-01-01",7,3,0,0,5,68,19,2
"2024-02-01",7,3,0,0,1,68,19,3
"2024-03-01",9,3,0,0,0,64,20,3
"2024-04-01",9,3,0,0,0,65,20,3
"2024-05-01",9,3,0,0,0,58,20,3
"2024-06-01",10,3,0,0,0,55,20,3
"2024-07-01",10,3,0,0,0,57,23,4
"2024-08-01",9,5,0,0,0,59,23,4
"2024-09-01",9,3,0,0,0,63,21,3
"2024-10-01",8,3,0,0,0,66,21,2
"2024-11-01",7,3,0,0,1,65,20,2
"2024-12-01",6,3,0,0,1,58,19,2
"2025-01-01",7,3,0,0,1,70,18,2
"2025-02-01",6,3,0,0,1,70,19,2
"2025-03-01",8,3,0,0,1,70,22,3
"2025-04-01",8,3,0,0,1,67,20,3
"2025-05-01",9,3,0,0,1,66,20,3
"2025-06-01",11,3,0,0,1,67,21,4
"2025-07-01",12,3,0,0,1,78,22,4
"2025-08-01",10,3,0,0,1,73,24,3
"2025-09-01",9,3,0,0,1,76,23,3
"2025-10-01",8,3,0,0,2,73,23,3
"2025-11-01",8,3,0,0,3,78,27,3
"2025-12-01",8,3,0,0,4,76,23,3
"2026-01-01",9,4,0,0,5,90,26,3
"2026-02-01",14,4,1,0,17,100,26,5
"2026-03-01",10,3,0,0,2,97,30,4
"2026-04-01",11,3,0,0,1,90,44,4
"2026-05-01",13,4,0,0,1,92,38,5
"2026-06-01",13,3,0,0,1,77,29,4
