"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",0,0,0,0,0,0,5,0
"2021-07-01",0,0,0,0,0,0,6,0
"2021-08-01",0,0,0,0,0,0,5,0
"2021-09-01",0,0,0,0,0,0,5,0
"2021-10-01",0,0,0,0,0,0,4,0
"2021-11-01",0,0,0,0,0,0,5,0
"2021-12-01",0,0,0,0,0,0,4,0
"2022-01-01",0,0,0,0,0,0,5,0
"2022-02-01",0,0,0,0,0,0,5,0
"2022-03-01",0,0,0,0,0,0,6,0
"2022-04-01",0,0,0,0,0,0,6,0
"2022-05-01",0,0,0,0,0,0,6,0
"2022-06-01",0,0,0,0,0,0,5,0
"2022-07-01",0,0,0,0,0,0,5,0
"2022-08-01",0,0,0,0,0,0,6,0
"2022-09-01",0,0,0,0,0,0,6,0
"2022-10-01",0,0,0,0,0,0,6,0
"2022-11-01",0,0,0,0,0,0,7,0
"2022-12-01",0,0,0,0,0,0,6,0
"2023-01-01",0,0,0,0,0,0,6,0
"2023-02-01",0,0,0,0,0,0,7,0
"2023-03-01",0,0,0,0,0,0,7,0
"2023-04-01",0,0,0,0,0,0,9,0
"2023-05-01",0,0,0,0,0,0,9,0
"2023-06-01",0,0,0,0,0,0,9,0
"2023-07-01",0,0,0,0,0,0,11,0
"2023-08-01",0,0,0,0,0,0,9,0
"2023-09-01",0,0,0,0,0,0,8,0
"2023-10-01",0,0,0,0,0,0,7,0
"2023-11-01",0,0,0,0,0,0,7,0
"2023-12-01",0,0,0,0,0,0,5,0
"2024-01-01",0,0,0,0,0,0,4,0
"2024-02-01",0,0,0,0,0,0,5,0
"2024-03-01",0,0,0,0,0,0,6,0
"2024-04-01",0,0,0,0,0,0,7,0
"2024-05-01",0,0,0,0,0,0,7,0
"2024-06-01",0,0,0,0,0,0,7,0
"2024-07-01",0,0,0,0,0,0,5,0
"2024-08-01",0,0,0,0,0,0,4,0
"2024-09-01",0,0,0,0,0,0,2,0
"2024-10-01",0,0,0,0,0,0,3,0
"2024-11-01",0,0,0,0,0,0,1,0
"2024-12-01",0,0,0,0,0,0,1,0
"2025-01-01",0,0,0,0,0,0,1,0
"2025-02-01",0,0,0,0,0,0,2,0
"2025-03-01",0,0,0,0,0,0,2,0
"2025-04-01",0,0,0,0,0,0,3,0
"2025-05-01",3,1,0,0,0,4,6,1
"2025-06-01",4,1,0,0,0,4,7,1
"2025-07-01",5,1,0,0,0,5,8,1
"2025-08-01",5,1,0,0,0,6,12,2
"2025-09-01",3,1,0,0,0,5,6,1
"2025-10-01",8,1,0,0,0,4,33,1
"2025-11-01",3,1,0,0,0,4,6,1
"2025-12-01",3,1,0,0,0,4,6,1
"2026-01-01",3,1,0,0,0,5,6,1
"2026-02-01",3,1,0,0,1,4,7,1
"2026-03-01",4,1,0,0,0,5,25,1
"2026-04-01",11,2,0,0,0,23,100,4
"2026-05-01",12,2,0,0,0,16,96,3
"2026-06-01",10,2,0,0,0,12,46,3
